suspected_match_miss,stiga_supplier_code,stiga_supplier_desc,brand,shopify_sku,shopify_title,vendor,current_price,current_compare_at_price,product_handle
no,,,Mountfield,MF-182180091/0,Mountfield/Stiga Battery Charger for Ride-Ons & Tractor Mowers |  1134-9250-01,Mountfield,79.95,,mountfield-stiga-battery-charger-for-ride-ons-and-tractor-mowers-182180091-0
no,,,Mountfield,MF-BUMPER-299900361-0,Mountfield/Stiga Front Bumper - for 98cm & 108cm Tractor Mowers | 299900361/0,Mountfield,90.95,,mountfield-stiga-front-bumper-for-98cm-and-108cm-tractor-mowers-299900361-0
no,,,Mountfield,MF-299900370/1,Mountfield/Stiga Mulching Kit with Blades - for 84cm Rear-Collect Tractors | 299900370/1,Mountfield,125.00,,mountfield-stiga-mulching-kit-with-blades-for-84cm-rear-collect-tractors-299900370-1
no,,,Mountfield,MF-Mulch-Plug-299900374/0,Mountfield/Stiga Mulching Kit with Blades - for 98cm Rear-Collect Tractors | 299900374/0,Mountfield,125.00,,mountfield-stiga-mulching-kit-with-blades-299900374-0
no,,,Mountfield,MF-MULCH-PLUG-TC122,Mountfield/Stiga Mulching Plug - for 122cm Rear-Collect Tractors | 299900046/0,Mountfield,80.00,,mountfield-stiga-mulching-plug-for-122cm-rear-collect-tractors-299900046-0
no,,,Mountfield,MF-299900135/22,Mountfield/Stiga Mulching Plug - for 66cm Ride-On Mowers | 299900135/0,Mountfield,80.00,,mountfield-stiga-mulching-plug-for-66cm-ride-on-mowers-299900135-0
no,,,Mountfield,MF-299900036/0,Mountfield/Stiga Mulching Plug - for 72cm Ride-On Mowers | 299900036/0,Mountfield,80.00,,mountfield-stiga-mulching-plug-for-72cm-ride-on-mowers-299900036-0
no,,,Mountfield,MF-2I0205000/19,Mountfield/Stiga Mulching Plug - for 84cm Rear-Collect Tractors | 2I0205000/19,Mountfield,80.00,,mountfield-stiga-mulching-plug-for-84cm-rear-collect-tractors-2i0205000-19
no,,,Mountfield,MF-299900038/1,Mountfield/Stiga Mulching Plug - for 92cm Rear-Collect Tractors | 299900038/1,Mountfield,80.00,,mountfield-stiga-mulching-plug-for-92cm-rear-collect-tractors
no,,,Mountfield,MF-MULCH-PLUG-NJ102-TRACTORS,Mountfield/Stiga Mulching Plug – for 102cm Rear-Collect Tractors | 299900045/0,Mountfield,117.00,,mountfield-stiga-mulching-plug-for-102cm-rear-collect-tractors-299900045-0
no,,,Mountfield,MF-299900055/0,Mountfield/Stiga Mulching Plug – for 102cm Rear-Collect Tractors | 299900055/0,Mountfield,80.00,,mountfield-stiga-mulching-plug-for-102cm-rear-collect-tractors-299900055-0
no,,,Mountfield,MF-299900346/0,Mountfield/Stiga Mulching Plug – for 108cm Side-Discharge Tractors | 299900346/0,Mountfield,60.00,,mountfield-stiga-mulching-plug-for-108cm-side-discharge-tractors-299900346-0
no,,,Mountfield,MF-299900341/0,Mountfield/Stiga Mulching Plug – for 98cm Side-Discharge Tractors | 299900341/0,Mountfield,60.00,,mountfield-stiga-mulching-plug-for-98cm-side-discharge-tractors-299900341-0
no,,,Mountfield,MF-DEFLECTOR-TC102-122,Mountfield/Stiga Rear Deflector - for 92cm/102cm/122cm Tractors | 299900016/0,Mountfield,140.00,,mountfield-stiga-deflector-for-92cm-102cm-122cm-cut-tractors-299900016-0
no,,,Mountfield,MF-299900385/0,Mountfield/Stiga Tow Bar - for 98cm & 108cm Side-Discharge Tractors | 299900385/0,Mountfield,60.00,,mountfield-stiga-tow-bar-for-98cm-and-108cm-side-discharge-tractor-mowers-299900385-0
no,,,Mountfield,MF-299900006/0,Mountfield/Stiga Tow Bar – for 92cm/102cm/122cm Rear-Collect Tractors | 299900006/0,Mountfield,60.00,,mountfield-stiga-tow-bar-for-92cm-102cm-122cm-garden-tractors-299900006-0
no,,,Mountfield,MF-TOW-BAR-92,Mountfield/Stiga Tow-Bar - for 92cm Rear-Collect Tractors | 299900081/0,Mountfield,113.95,,mountfield-stiga-tow-bar-for-92cm-tractors-299900081-0
no,,,Mountfield,MF-2T2005403/CAS,SLIGHTLY USED - Mountfield MTF 84 M Rear-Collect Lawn Tractor with Manual Drive,Mountfield,1899.95,2299.00,mountfield-mtf-84-m-352cc-84cm-single-cylinder-rear-collect-lawn-tractor-with-manual-drive
